iter	Passed	Remaining
0	0	88
1	1	79
2	2	74
3	2	71
4	3	70
5	4	69
6	5	68
7	5	66
8	6	64
9	6	62
10	7	60
11	7	58
12	8	56
13	9	55
14	9	54
15	10	52
16	10	51
17	11	50
18	11	50
19	12	49
20	12	48
21	13	47
22	13	46
23	14	45
24	15	45
25	15	44
26	16	43
27	16	42
28	17	41
29	17	40
30	17	39
31	18	39
32	19	38
33	19	37
34	20	37
35	20	36
36	20	35
37	21	34
38	21	34
39	22	33
40	22	33
41	23	32
42	24	31
43	24	31
44	25	30
45	25	30
46	26	29
47	26	28
48	27	28
49	27	27
50	28	27
51	28	26
52	29	25
53	29	25
54	30	24
55	30	24
56	31	23
57	31	23
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	16
69	38	16
70	38	15
71	39	15
72	39	14
73	40	14
74	40	13
75	41	13
76	41	12
77	42	11
78	42	11
79	43	10
80	44	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	52	2
96	52	1
97	53	1
98	53	0
99	54	0
