iter	Passed	Remaining
0	0	916
1	1	828
2	2	798
3	3	813
4	4	806
5	4	785
6	5	781
7	6	779
8	7	780
9	7	782
10	8	785
11	9	778
12	10	769
13	10	759
14	11	750
15	12	742
16	12	736
17	13	732
18	14	730
19	14	727
20	15	725
21	16	723
22	16	721
23	17	720
24	18	723
25	19	722
26	20	721
27	20	722
28	21	722
29	22	725
30	23	727
31	23	722
32	24	719
33	25	716
34	25	711
35	26	709
36	27	707
37	27	706
38	28	704
39	29	702
40	29	701
41	30	699
42	31	698
43	32	698
44	33	709
45	34	711
46	35	715
47	36	715
48	36	714
49	37	716
50	38	714
51	38	710
52	39	708
53	40	705
54	40	703
55	41	700
56	42	698
57	42	697
58	43	695
59	44	694
60	45	693
61	45	692
62	46	691
63	47	690
64	48	690
65	48	691
66	49	691
67	50	689
68	50	687
69	51	687
70	52	689
71	53	689
72	54	688
73	54	687
74	55	685
75	56	683
76	56	682
77	57	680
78	58	678
79	58	677
80	59	677
81	60	676
82	60	671
83	61	670
84	62	672
85	63	672
86	64	672
87	64	671
88	65	669
89	66	668
90	66	667
91	67	665
92	68	663
93	68	662
94	69	660
95	70	661
96	71	661
97	72	663
98	72	663
99	73	662
100	74	660
101	74	658
102	75	656
103	75	654
104	76	652
105	77	651
106	78	653
107	79	652
108	79	651
109	80	649
110	80	648
111	81	647
112	82	647
113	83	648
114	84	647
115	84	647
116	85	644
117	86	644
118	86	643
119	87	641
120	88	639
121	88	637
122	89	635
123	89	634
124	90	632
125	91	632
126	91	630
127	92	628
128	93	629
129	93	628
130	94	628
131	95	627
132	96	626
133	96	625
134	97	624
135	98	624
136	99	625
137	99	624
138	100	623
139	101	621
140	101	619
141	102	617
142	102	615
143	103	615
144	104	614
145	104	613
146	106	615
147	106	614
148	107	613
149	108	614
150	109	613
151	109	612
152	110	612
153	111	611
154	112	610
155	112	610
156	113	609
157	114	609
158	115	608
159	115	607
160	116	605
161	116	604
162	117	603
163	118	602
164	118	601
165	119	600
166	120	599
167	121	599
168	121	599
169	122	600
170	123	601
171	124	601
172	125	600
173	126	599
174	127	598
175	128	599
176	128	599
177	129	598
178	130	598
179	131	596
180	131	595
181	132	594
182	132	592
183	133	591
184	134	590
185	134	589
186	135	588
187	136	587
188	136	586
189	137	586
190	138	585
191	138	584
192	139	584
193	140	583
194	141	582
195	141	582
196	142	582
197	143	581
198	144	580
199	144	579
200	145	578
201	146	577
202	146	576
203	147	575
204	148	574
205	148	573
206	149	572
207	150	571
208	150	570
209	151	568
210	151	567
211	152	567
212	153	566
213	154	566
214	154	565
215	155	564
216	156	563
217	156	563
218	157	561
219	158	560
220	158	559
221	159	558
222	159	557
223	160	556
224	161	555
225	161	554
226	162	553
227	163	552
228	163	551
229	164	550
230	164	548
231	165	547
232	166	546
233	166	545
234	167	544
235	168	544
236	169	544
237	169	543
238	170	542
239	171	541
240	171	541
241	172	540
242	173	539
243	173	539
244	174	538
245	175	537
246	175	536
247	176	535
248	177	534
249	177	532
250	178	531
251	178	530
252	179	529
253	180	528
254	180	527
255	181	526
256	181	525
257	182	524
258	183	524
259	184	523
260	184	523
261	185	523
262	186	522
263	187	522
264	187	521
265	188	520
266	189	519
267	189	518
268	190	517
269	190	516
270	191	515
271	192	514
272	192	513
273	193	512
274	194	511
275	194	511
276	195	510
277	196	509
278	196	508
279	197	507
280	198	506
281	198	506
282	199	505
283	200	504
284	200	504
285	201	503
286	202	502
287	202	501
288	203	500
289	204	499
290	204	498
291	205	497
292	205	496
293	206	496
294	207	495
295	207	494
296	208	493
297	209	493
298	209	492
299	210	491
300	211	490
301	211	489
302	212	488
303	213	488
304	213	487
305	214	486
306	215	485
307	215	484
308	216	483
309	216	482
310	217	482
311	218	481
312	218	480
313	219	479
314	220	478
315	220	477
316	221	476
317	221	476
318	222	475
319	223	474
320	223	473
321	224	472
322	224	471
323	225	470
324	226	469
325	226	468
326	227	467
327	228	467
328	228	466
329	229	466
330	230	465
331	230	464
332	231	463
333	231	462
334	232	461
335	233	461
336	233	460
337	234	459
338	235	458
339	235	457
